BTOT,yr,RELI,wkt,WT1,WT2,WT3,WT4,WT5,WT6
55,2014,68592448,POINT(8.575472 47.348457),2,0,12,12,0,1
86,2014,67882486,POINT(8.482187 47.383519),4,12,18,12,3,0
4,2014,68202437,POINT(8.523663 47.339061),0,0,0,0,1,1
76,2014,68052482,POINT(8.504626 47.379716),0,8,17,6,0,0
14,2014,68632443,POINT(8.580669 47.343908),0,0,0,0,0,6
31,2014,68152495,POINT(8.518103 47.391285),10,0,0,0,0,0
101,2014,68522463,POINT(8.566495 47.362038),2,22,33,13,0,0
75,2014,68382464,POINT(8.547983 47.363117),9,21,21,4,3,2
172,2014,68022472,POINT(8.500475 47.370759),1,18,78,11,4,0
135,2014,68822479,POINT(8.606518 47.376032),0,1,9,25,11,1
99,2014,68322493,POINT(8.54058 47.389273),30,4,17,11,2,0
35,2014,68062486,POINT(8.506022 47.383301),0,12,2,3,3,0
186,2014,68442458,POINT(8.555812 47.357644),4,23,35,29,9,1
37,2014,68622446,POINT(8.579404 47.346619),0,1,2,5,3,8
94,2014,68722498,POINT(8.593649 47.393253),2,4,4,22,7,3
63,2014,68372486,POINT(8.547071 47.382915),13,8,20,13,1,0
20,2014,68392523,POINT(8.550413 47.416164),0,0,0,3,3,0
78,2014,68372523,POINT(8.547763 47.41619),2,6,18,11,4,3
55,2014,68082471,POINT(8.5084 47.369787),3,11,11,4,1,1
41,2014,68302528,POINT(8.538581 47.420775),0,1,6,7,3,3
54,2014,68552444,POINT(8.570103 47.344911),0,0,1,8,6,6
50,2014,68742486,POINT(8.596063 47.382434),0,0,2,2,9,1
137,2014,68332499,POINT(8.542016 47.394657),0,1,25,24,4,0
83,2014,68342493,POINT(8.543229 47.389248),21,3,18,10,4,3
252,2014,68132471,POINT(8.515019 47.369725),28,26,93,26,3,1
386,2014,68102471,POINT(8.511047 47.369762),48,33,90,33,2,0
116,2014,68002474,POINT(8.497863 47.372582),21,32,19,11,0,0
56,2014,67882495,POINT(8.482346 47.391613),0,15,15,0,0,0
104,2014,68262433,POINT(8.531528 47.335388),18,34,19,7,3,1
132,2014,68022471,POINT(8.500457 47.36986),2,23,67,0,3,0
27,2014,68252521,POINT(8.531827 47.414543),0,5,0,5,2,1
96,2014,68302435,POINT(8.536856 47.337137),2,10,10,14,8,1
